Price,Land Size (SQM),No. of Bedroom,No. of Bathroom ,Car Space,Distance to Primary School (KM),Distance to Secondary School (KM),Age of House,Suburb ,Address
910000,429,3,1,1,0.66,0.91,111,Inglewood,"30 York Street, Inglewood, WA 6052"
972200,388,4,2,2,0.5,0.93,98,Inglewood,"180 Central Avenue, Inglewood, WA 6052"
1020000,592,4,1,3,0.39,1.14,88,Inglewood,"185 Crawford Road, Inglewood, WA 6052"
903000,562,3,1,4,0.13,1.49,81,Inglewood,"32 Sexton Road, Inglewood, WA 6052"
1620000,391,4,2,2,0.64,1.19,10,Inglewood,"13 Macaulay Crescent, Inglewood, WA 6052"
860000,351,3,2,2,0.39,1.15,71,Inglewood,"335 Crawford Road, Inglewood, WA 6052"
342000,68,2,1,0,0.67,0.89,42,Inglewood,"14/3 Oxford Street, Inglewood, WA 6052"
1090000,311,4,3,2,0.52,0.89,22,Inglewood,"105 Clifton Crescent, Inglewood, WA 6052"
959000,265,3,3,2,0.71,0.97,19,Inglewood,"242A Seventh Avenue, Inglewood, WA 6052"
1190000,290,4,3,2,0.67,1.15,7,Inglewood,"179A Seventh Avenue, Inglewood, WA 6052"
1375000,330,4,3,2,0.58,1.25,23,Inglewood,"28 Macaulay Cres, Inglewood, WA 6052"
720000,282,3,2,1,0.41,1.12,28,Inglewood,"3 India Street, Inglewood, WA 6052"
1190000,400,6,4,4,0.41,1.34,7,Inglewood,"78A Dundas Road, Inglewood, WA 6052"
660000,293,3,2,2,0.67,0.81,96,Inglewood,"73 Tenth Avenue, Inglewood, WA 6052"
775000,675,3,1,1,0.22,1.38,71,Inglewood,"31 Robinson Street, Inglewood, WA 6052"
780000,594,3,1,5,0.41,1.39,86,Inglewood,"89 Dundas Road, Inglewood, WA 6052"
855000,238,5,3,2,0.68,0.8,8,Inglewood,"148c Ninth Avenue, Inglewood, WA 6052"
1330000,484,5,3,3,0.56,1.09,17,Inglewood,"6 Isola Close, Inglewood, WA 6052"
715000,215,3,2,1,0.48,1,27,Inglewood,"1/92 Tenth Avenue, Inglewood, WA 6052"
909000,759,2,1,4,0.67,0.98,88,Inglewood,"183 Eighth Avenue, Inglewood, WA 6052"
810000,971,3,1,1,0.28,1.26,86,Inglewood,"43 Wood St, Inglewood, WA 6052"
642500,506,3,1,0,0.7,0.7,39,Inglewood,"51 Tenth Avenue, Inglewood, WA 6052"
630000,562,2,1,1,0.16,1.26,69,Inglewood,"110 Wood Street, Inglewood, WA 6052"
1195000,622,4,2,2,0.51,1,77,Inglewood,"355 Crawford Road, Inglewood, WA 6052"
990000,338,3,1,2,0.14,1.57,91,Inglewood,"44A Normanby Road, Inglewood, WA 6052"
1400000,382,4,3,2,0.59,1.12,6,Inglewood,"239A Ninth Avenue, Inglewood, WA 6052"
1300000,594,4,2,2,0.63,1.22,98,Inglewood,"180 Seventh Avenue, Inglewood, WA 6052"
1650000,567,4,2,2,0.57,1.14,86,Inglewood,"29 Nelson Street, Inglewood, WA 6052"
970000,612,3,2,4,0.66,1,95,Inglewood,"139 Sixth Avenue, Inglewood, WA 6052"
950000,296,4,3,2,0.47,1,86,Inglewood,"7 Eleventh Avenue, Inglewood, WA 6052"
695000,230,3,1,1,0.62,0.86,25,Inglewood,"30 Eleventh Avenue, Inglewood, WA 6052"
965000,123,4,2,2,0.57,1.11,103,Inglewood,"246 Eighth Avenue, Inglewood, WA 6052"
1682500,640,4,2,2,0.3,1.52,86,Inglewood,"264 Crawford Road, Inglewood, WA 6052"
730000,125,3,2,2,0.68,1.1,20,Inglewood,"5/166 Seventh Avenue, Inglewood, WA 6052"
845000,223,3,2,1,0.7,0.9,23,Inglewood,"173A Eighth Avenue, Inglewood, WA 6052"
1600000,594,5,2,2,0.64,1.18,103,Inglewood,"174 Seventh Avenue, Inglewood, WA 6052"
968000,660,4,1,4,0.65,0.65,39,Inglewood,"146A Eighth Avenue, Inglewood, WA 6052"
830000,353,3,1,0,0.14,1.34,96,Inglewood,"16 Normanby Road, Inglewood, WA 6052"
790000,270,3,1,2,0.65,0.88,103,Inglewood,"149A Ninth Avenue, Inglewood, WA 6052"
925000,562,4,1,1,0.42,1,66,Inglewood,"94 Sexton Road, Inglewood, WA 6052"
1038000,550,3,2,2,0.38,1.23,64,Inglewood,"954 Beaufort Street, Inglewood, WA 6052"
980000,304,4,2,2,0.68,1.11,20,Inglewood,"195a Seventh Avenue, Inglewood, WA 6052"
890000,241,3,2,1,0.54,1.13,18,Inglewood,"8 Inglewood Lane, Inglewood, WA 6052"
1168000,289,3,2,2,0.19,1.35,13,Inglewood,"12B Arthur Street, Inglewood, WA 6052"
1090000,612,3,2,2,0.21,1.3,96,Inglewood,"207 Crawford Road, Inglewood, WA 6052"
672500,647,2,1,2,0.14,1.41,29,Inglewood,"16 Robinson Street, Inglewood, WA 6052"
770000,248,3,1,3,0.4,1.25,35,Inglewood,"190A Ninth Avenue, Inglewood, WA 6052"
733500,301,3,2,2,0.79,0.91,20,Inglewood,"157A Seventh Avenue, Inglewood, WA 6052"
1395000,562,4,2,1,0.55,1.06,91,Inglewood,"164 Crawford Road, Inglewood, WA 6052"
1161000,381,4,3,2,0.65,1.2,22,Inglewood,"17 Macaulay Crescent, Inglewood, WA 6052"
749000,344,4,3,6,0.89,13.92,29,DUNSBOROUGH,"17 AMBERLEY LOOP, DUNSBOROUGH"
1175000,538,4,3,2,1.4,13.33,3,DUNSBOROUGH,"59 BALLYNEAL LOOP, DUNSBOROUGH"
700000,591,4,2,1,2.18,14.72,29,DUNSBOROUGH,"14 MOONDAH CLOSE, DUNSBOROUGH"
665000,373,4,2,2,1.77,12.74,9,DUNSBOROUGH,"20 Inverness Avenue, Dunsborough, WA 6281"
575000,315,4,2,2,1.05,12.99,1,DUNSBOROUGH,"39 DIAMANTE BOULEVARD, DUNSBOROUGH"
825000,522,4,2,2,0.9,13.52,9,DUNSBOROUGH,"208 DUNSBOROUGH LAKES DRIVE, DUNSBOROUGH"
2000000,1012,3,2,4,1.83,14.29,44,DUNSBOROUGH,"17 DUNN BAY ROAD, DUNSBOROUGH"
970000,806,4,2,4,1.49,13.04,15,DUNSBOROUGH,"11 PINEHURST CRESCENT, DUNSBOROUGH"
280000,219,3,2,2,0.89,13.7,20,DUNSBOROUGH,Lot 3/1 Saint Michaels Parkway Dunsborough.
665000,717,3,2,2,1.73,14.31,25,DUNSBOROUGH,"38 DUNSBOROUGH LAKES DRIVE, DUNSBOROUGH"
820000,576,4,2,2,1.39,13.62,11,DUNSBOROUGH,"8 Killarney Road, Dunsborough, WA 6281"
749000,639,4,3,6,1.59,13.92,29,DUNSBOROUGH,"17 AMBERLEY LOOP, DUNSBOROUGH"
850000,390,4,2,2,1.26,13,15,DUNSBOROUGH,"44 HAYLING WAY, DUNSBOROUGH"
780000,630,4,2,2,1.4,14.34,25,DUNSBOROUGH,"54 BROOKLAND LOOP, DUNSBOROUGH"
2500000,481,3,3,1,0.74,15.21,15,DUNSBOROUGH,"1/4 EVERINGHAM PLACE, DUNSBOROUGH"
845000,548,3,2,2,1.25,14.74,18,DUNSBOROUGH,"23/89 GIFFORD ROAD, DUNSBOROUGH"
1175000,538,4,3,2,1.4,13.33,3,DUNSBOROUGH,"14 MOONDAH CLOSE, DUNSBOROUGH"
665000,373,4,2,2,1.77,12.74,9,DUNSBOROUGH,"20 INVERNESS AVENUE, DUNSBOROUGH"
575000,315,4,2,2,1.05,12.99,1,DUNSBOROUGH,39 Diamante Boulevard Dunsborough
825000,522,4,2,2,0.9,13.52,9,DUNSBOROUGH,"208 DUNSBOROUGH LAKES DRIVE, DUNSBOROUGH"
685000,384,4,2,2,1.2,12.96,2,DUNSBOROUGH,"21 FLEETWOOD LOOP, DUNSBOROUGH"
2000000,1012,3,2,4,1.83,14.29,44,DUNSBOROUGH,"17 Dunn Bay Road, Dunsborough, WA 6281"
660000,450,3,2,2,1.43,12.98,7,DUNSBOROUGH,"35 BANDON LOOP, DUNSBOROUGH"
1380000,1087,4,2,2,1.74,14.61,8,DUNSBOROUGH,"42 Ballard LoopDunsborough, WA 6281"
685000,384,4,2,2,1.2,12.96,2,DUNSBOROUGH,"21 Fleetwood Loop, Dunsborough, WA 6281"
906200,450,4,2,2,1.76,15.27,9,DUNSBOROUGH,"49 Schooner CresDunsborough, WA 6281"
867500,718,4,2,4,1.5,13,6,DUNSBOROUGH,"11 Bandon LoopDunsborough, WA 6281"
